name,max_depth,max_features,max_samples,min_samples_leaf,n_estimators,test_score_default,test_score_tuned,improvement,total_data_points,samples,features,classes,log#D,#samp/#feat,log(#samp/#feat),log(#samp)/log(#feat)
mfeat-factors,21,0.027,0.725,2,550,0.975,0.965,-1.00%,"432,000","2,000",216,10,5.64,9.26,0.97,1.41
electricity,66,0.841,0.874,1,250,0.913,0.921,0.85%,"362,496","45,312",8,2,5.56,5664.00,3.75,5.16
optdigits,57,0.231,0.836,1,150,0.978,0.978,0.00%,"359,680","5,620",64,10,5.56,87.81,1.94,2.08
letter,57,0.231,0.836,1,150,0.968,0.968,-0.03%,"320,000","20,000",16,26,5.51,1250.00,3.10,3.57
spambase,39,0.102,0.458,1,400,0.949,0.945,-0.43%,"262,257","4,601",57,2,5.42,80.72,1.91,2.09
satimage,57,0.231,0.836,1,150,0.906,0.898,-0.78%,"231,480","6,430",36,6,5.36,178.61,2.25,2.45
splice,60,0.065,0.601,3,800,0.958,0.972,1.41%,"191,400","3,190",60,3,5.28,53.17,1.73,1.97
ozone-level-8hr,30,0.409,0.794,2,250,0.945,0.943,-0.20%,"182,448","2,534",72,2,5.26,35.19,1.55,1.83
pendigits,57,0.231,0.836,1,150,0.992,0.991,-0.09%,"175,872","10,992",16,10,5.25,687.00,2.84,3.36
mfeat-fourier,30,0.180,0.766,2,600,0.840,0.825,-1.50%,"152,000","2,000",76,10,5.18,26.32,1.42,1.76
wall-robot-navigation,18,0.673,0.854,1,200,0.992,0.998,0.64%,"130,944","5,456",24,4,5.12,227.33,2.36,2.71
mfeat-karhunen,63,0.093,0.713,2,800,0.965,0.975,1.00%,"128,000","2,000",64,10,5.11,31.25,1.49,1.83
kr-vs-kp,18,0.847,0.814,1,600,0.994,0.998,0.47%,"115,056","3,196",36,2,5.06,88.78,1.95,2.25
churn,39,0.343,0.871,2,450,0.952,0.949,-0.30%,"100,000","5,000",20,2,5.00,250.00,2.40,2.84
mfeat-zernike,39,0.310,0.968,2,400,0.785,0.800,1.50%,"94,000","2,000",47,10,4.97,42.55,1.63,1.97
analcatdata_authorship,63,0.093,0.713,2,800,0.988,1.000,1.18%,"58,870",841,70,4,4.77,12.01,1.08,1.59
pc3,18,0.847,0.814,1,600,0.907,0.907,0.00%,"57,831","1,563",37,2,4.76,42.24,1.63,2.04
pc4,63,0.752,0.385,3,250,0.901,0.904,0.34%,"53,946","1,458",37,2,4.73,39.41,1.60,2.02
steel-plates-fault,66,0.841,0.874,1,250,0.799,0.787,-1.29%,"52,407","1,941",27,7,4.72,71.89,1.86,2.30
kc1,60,0.712,0.899,3,300,0.855,0.863,0.71%,"44,289","2,109",21,2,4.65,100.43,2.00,2.51
qsar-biodeg,63,0.190,0.550,2,50,0.886,0.886,0.00%,"43,255","1,055",41,2,4.64,25.73,1.41,1.87
segment,57,0.231,0.836,1,150,0.937,0.946,0.87%,"36,960","2,310",16,7,4.57,144.38,2.16,2.79
phoneme,18,0.673,0.854,1,200,0.913,0.916,0.28%,"27,020","5,404",5,2,4.43,1080.80,3.03,5.34
wilt,45,0.762,0.785,2,750,0.982,0.983,0.10%,"24,195","4,839",5,2,4.38,967.80,2.99,5.27
pc1,6,0.925,0.410,1,450,0.932,0.937,0.45%,"23,289","1,109",21,2,4.37,52.81,1.72,2.30
credit-g,30,0.180,0.766,2,600,0.710,0.730,2.00%,"20,000","1,000",20,2,4.30,50.00,1.70,2.31
wdbc,54,0.000,0.559,2,600,0.921,0.921,0.00%,"17,070",569,30,2,4.23,18.97,1.28,1.87
vehicle,57,0.231,0.836,1,150,0.759,0.765,0.59%,"15,228",846,18,4,4.18,47.00,1.67,2.33
cmc,57,0.949,0.991,7,400,0.502,0.529,2.71%,"13,257","1,473",9,3,4.12,163.67,2.21,3.32
mfeat-morphological,15,0.711,0.344,2,150,0.695,0.705,1.00%,"12,000","2,000",6,10,4.08,333.33,2.52,4.24
vowel,57,0.231,0.836,1,150,0.970,0.955,-1.52%,"11,880",990,12,11,4.07,82.50,1.92,2.78
kc2,24,0.978,0.910,38,750,0.790,0.781,-0.95%,"10,962",522,21,2,4.04,24.86,1.40,2.06
car,24,0.936,0.803,1,650,0.968,0.977,0.87%,"10,368","1,728",6,4,4.02,288.00,2.46,4.16
climate-model-simulation-crashes,54,0.945,0.992,2,750,0.935,0.954,1.85%,"9,720",540,18,2,3.99,30.00,1.48,2.18
tic-tac-toe,9,0.405,0.870,1,100,0.984,0.984,0.00%,"8,622",958,9,2,3.94,106.44,2.03,3.12
diabetes,54,0.899,0.437,14,50,0.747,0.766,1.95%,"6,144",768,8,2,3.79,96.00,1.98,3.19
ilpd,21,0.524,0.929,2,50,0.658,0.675,1.71%,"5,830",583,10,2,3.77,58.30,1.77,2.77
banknote-authentication,24,0.936,0.803,1,650,0.996,0.993,-0.36%,"5,488","1,372",4,2,3.74,343.00,2.54,5.21
analcatdata_dmft,9,0.203,0.166,11,150,0.150,0.194,4.38%,"3,188",797,4,6,3.50,199.25,2.30,4.82
blood-transfusion-service-center,27,0.991,0.879,7,50,0.740,0.807,6.67%,"2,992",748,4,2,3.48,187.00,2.27,4.77
balance-scale,48,0.510,0.128,1,150,0.840,0.912,7.20%,"2,500",625,4,3,3.40,156.25,2.19,4.64
